Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time ,Year,Month,Day,Time,Flag,Temp,Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-80.61,51.29,MOOSONEE,6075420,2025-01-01 0:00,2025,1,1,0:00,,-7.6,,-9,,90,,0,,23,,11,,16.1,,100.66,,,,-13,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 1:00,2025,1,1,1:00,,-7.5,,-8.6,,92,,0,,22,,17,,16.1,,100.67,,,,-14,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 2:00,2025,1,1,2:00,,-7.8,,-8.9,,92,,0,,22,,13,,16.1,,100.7,,,,-14,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 3:00,2025,1,1,3:00,,-8,,-9.2,,91,,0,,22,,11,,16.1,,100.73,,,,-13,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 4:00,2025,1,1,4:00,,-8.6,,-9.7,,92,,0,,23,,9,,16.1,,100.73,,,,-13,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 5:00,2025,1,1,5:00,,-9.7,,-10.9,,91,,0,,25,,9,,16.1,,100.73,,,,-15,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 6:00,2025,1,1,6:00,,-10.1,,-11,,93,,0,,23,,5,,16.1,,100.77,,,,-13,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 7:00,2025,1,1,7:00,,-9.4,,-10.3,,93,,0,,22,,8,,16.1,,100.84,,,,-14,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 8:00,2025,1,1,8:00,,-10.1,,-11.2,,92,,0,,,M,5,,16.1,,100.85,,,,-13,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 9:00,2025,1,1,9:00,,-9.1,,-10.2,,92,,0,,23,,8,,16.1,,100.89,,,,-13,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 10:00,2025,1,1,10:00,,-8.8,,-9.9,,92,,0,,,M,4,,16.1,,100.91,,,,-11,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 11:00,2025,1,1,11:00,,-7.8,,-8.9,,92,,0,,27,,8,,16.1,,100.88,,,,-12,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 12:00,2025,1,1,12:00,,-6.9,,-8.1,,91,,0,,27,,8,,16.1,,100.81,,,,-11,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 13:00,2025,1,1,13:00,,-6,,-7.2,,91,,0,,26,,8,,16.1,,100.78,,,,-10,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 14:00,2025,1,1,14:00,,-5.2,,-6.6,,90,,0,,26,,5,,16.1,,100.8,,,,-7,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 15:00,2025,1,1,15:00,,-4.7,,-6.1,,90,,0,,,,0,,16.1,,100.87,,,,,,
-80.61,51.29,MOOSONEE,6075420,2025-01-01 16:00,2025,1,1,16:00,,-5.3,,-7,,88,,0,,27,,9,,16.1,,100.91,,,,-9,,
