Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Temperature,Relative Humidity,Wind Speed,Wind Direction,Precipitable Water,Pressure
2024,1,1,0,30,0,0,0,-15,73.12,0.9,221,0.7,1020
2024,1,1,1,30,0,0,0,-14.8,72.75,1,217,0.7,1019
2024,1,1,2,30,0,0,0,-14.5,72.36,1.1,214,0.7,1018
2024,1,1,3,30,0,0,0,-14.2,72.59,1.2,212,0.8,1018
2024,1,1,4,30,0,0,0,-13.8,72.47,1.3,210,0.8,1017
2024,1,1,5,30,0,0,0,-13.2,71.89,1.4,210,0.9,1015
2024,1,1,6,30,0,0,0,-12.5,70.87,1.6,213,0.9,1014
2024,1,1,7,30,0,0,0,-11.8,69.56,1.6,216,1,1013
2024,1,1,8,30,5,62,5,-11,67.69,1.7,217,1,1011
2024,1,1,9,30,33,477,87,-9.9,64.9,1.7,219,1.1,1010
2024,1,1,10,30,52,0,52,-8.7,62.87,1.6,221,1.1,1009
2024,1,1,11,30,33,0,33,-7.6,62.38,1.5,224,1.1,1009
2024,1,1,12,30,82,7,84,-6.6,62.05,1.5,226,1.2,1008
2024,1,1,13,30,147,96,171,-6,63.69,1.5,226,1.3,1007
2024,1,1,14,30,98,20,102,-5.7,66.55,1.5,225,1.2,1006
2024,1,1,15,30,29,466,75,-5.7,69.86,1.4,227,1,1006
2024,1,1,16,30,0,0,0,-5.8,72.68,1.4,228,0.9,1006
2024,1,1,17,30,0,0,0,-6,75.23,1.4,230,0.7,1005
2024,1,1,18,30,0,0,0,-5.9,76.05,1.3,232,0.8,1005
2024,1,1,19,30,0,0,0,-5.8,77.31,1.2,235,0.9,1004
2024,1,1,20,30,0,0,0,-5.6,78.5,1.2,239,1,1004
2024,1,1,21,30,0,0,0,-5.6,80.61,1.1,241,1.1,1004
2024,1,1,22,30,0,0,0,-5.5,82.41,1,239,1.2,1004
2024,1,1,23,30,0,0,0,-5.4,84.29,1,237,1.2,1003
2024,1,2,0,30,0,0,0,-5.4,85.74,1,238,1.2,1003
2024,1,2,1,30,0,0,0,-5.6,87.9,0.9,240,1.1,1003
2024,1,2,2,30,0,0,0,-5.8,89.36,0.8,243,1.1,1003
2024,1,2,3,30,0,0,0,-6.1,91.01,0.7,244,1.2,1004
2024,1,2,4,30,0,0,0,-6.4,92.27,0.7,245,1.2,1004
2024,1,2,5,30,0,0,0,-6.6,92.46,0.6,248,1.2,1004
2024,1,2,6,30,0,0,0,-6.7,92.29,0.5,255,1.2,1004
2024,1,2,7,30,0,0,0,-6.8,92.49,0.5,264,1.1,1004
2024,1,2,8,30,5,30,5,-6.8,91.29,0.5,276,1.1,1004
2024,1,2,9,30,40,382,83,-6.6,89.4,0.6,298,1,1004
2024,1,2,10,30,8,0,8,-6.3,87,0.8,326,0.9,1005
2024,1,2,11,30,46,213,101,-6.4,85.07,1,348,0.9,1005
2024,1,2,12,30,75,1,75,-6.7,82.54,1.1,179,0.8,1006
2024,1,2,13,30,34,0,34,-7.3,80.61,1.1,178,0.7,1006
2024,1,2,14,30,45,1,45,-7.9,78.23,1,356,0.7,1007
2024,1,2,15,30,32,452,78,-8.7,76.76,1,355,0.6,1008
2024,1,2,16,30,0,0,0,-9.5,74.44,0.9,357,0.6,1009
2024,1,2,17,30,0,0,0,-10.1,71.07,0.8,181,0.6,1010
2024,1,2,18,30,0,0,0,-10.5,68.54,0.7,7,0.5,1010
2024,1,2,19,30,0,0,0,-10.8,67.53,0.6,10,0.5,1010
2024,1,2,20,30,0,0,0,-11.3,70.39,0.6,8,0.5,1011
2024,1,2,21,30,0,0,0,-11.9,74.31,0.6,181,0.4,1011
2024,1,2,22,30,0,0,0,-12.4,75.99,0.6,355,0.4,1011
2024,1,2,23,30,0,0,0,-12.7,75.84,0.6,352,0.4,1011
2024,1,3,0,30,0,0,0,-12.8,75.03,0.6,352,0.4,1012
2024,1,3,1,30,0,0,0,-12.9,75.41,0.6,353,0.4,1012
2024,1,3,2,30,0,0,0,-12.7,74.72,0.6,351,0.4,1012
2024,1,3,3,30,0,0,0,-12.6,74.86,0.5,342,0.4,1013
2024,1,3,4,30,0,0,0,-12.7,73.89,0.6,331,0.4,1013
2024,1,3,5,30,0,0,0,-12.8,72.9,0.5,326,0.4,1013
2024,1,3,6,30,0,0,0,-13,72.79,0.5,323,0.4,1014
2024,1,3,7,30,0,0,0,-13.2,72.31,0.5,318,0.4,1014
2024,1,3,8,30,6,70,6,-13.2,70.48,0.6,312,0.4,1014
2024,1,3,9,30,34,527,94,-12.8,68.78,0.7,306,0.4,1015
2024,1,3,10,30,62,0,62,-12.5,67.56,0.7,302,0.4,1015
2024,1,3,11,30,67,0,67,-12.4,66.95,0.8,299,0.3,1015
2024,1,3,12,30,53,0,53,-12.3,66.74,0.8,298,0.3,1015
2024,1,3,13,30,43,130,76,-12.3,67.27,0.8,298,0.3,1015
2024,1,3,14,30,10,0,10,-12.5,68.78,0.8,298,0.3,1016
2024,1,3,15,30,32,524,86,-12.8,70.53,0.8,296,0.3,1016
2024,1,3,16,30,0,0,0,-13,71.55,0.8,293,0.3,1017
2024,1,3,17,30,0,0,0,-13.1,72.19,0.9,291,0.3,1018
2024,1,3,18,30,0,0,0,-13.2,72.49,0.9,289,0.3,1018
2024,1,3,19,30,0,0,0,-13.5,73.3,0.9,287,0.3,1019
2024,1,3,20,30,0,0,0,-13.7,72.89,0.9,285,0.3,1019
2024,1,3,21,30,0,0,0,-14,72.59,0.9,283,0.3,1019
2024,1,3,22,30,0,0,0,-14.3,71.93,0.9,282,0.3,1019
2024,1,3,23,30,0,0,0,-14.6,71.95,0.9,281,0.3,1019
2024,1,4,0,30,0,0,0,-14.8,71.95,0.9,279,0.3,1020
2024,1,4,1,30,0,0,0,-14.9,71.08,0.8,275,0.3,1020
2024,1,4,2,30,0,0,0,-15,70.38,0.8,271,0.3,1020
2024,1,4,3,30,0,0,0,-14.9,69.99,0.8,269,0.3,1020
2024,1,4,4,30,0,0,0,-14.9,70.72,0.9,267,0.3,1021
2024,1,4,5,30,0,0,0,-14.9,71.44,0.9,266,0.3,1021
2024,1,4,6,30,0,0,0,-15,72.48,0.9,265,0.3,1021
2024,1,4,7,30,0,0,0,-15,72.01,0.9,265,0.3,1021
2024,1,4,8,30,2,0,2,-15,71.65,0.9,265,0.3,1021
2024,1,4,9,30,49,0,49,-14.8,70.54,1,265,0.3,1022
2024,1,4,10,30,119,5,120,-14.5,68.65,1,266,0.3,1022
2024,1,4,11,30,165,18,170,-14.3,67.51,1,266,0.3,1022
2024,1,4,12,30,186,20,192,-14.2,67,1,268,0.3,1021
2024,1,4,13,30,168,15,172,-14.2,66.99,1,268,0.3,1021
2024,1,4,14,30,77,1,77,-14.3,67.33,0.9,268,0.3,1022
2024,1,4,15,30,54,2,54,-14.5,67.85,0.9,266,0.3,1022
2024,1,4,16,30,0,0,0,-14.8,68.75,0.8,264,0.3,1022
2024,1,4,17,30,0,0,0,-15.2,68.82,0.8,263,0.3,1022
2024,1,4,18,30,0,0,0,-15.7,68.54,0.7,259,0.3,1022
2024,1,4,19,30,0,0,0,-16,68.68,0.7,251,0.3,1021
2024,1,4,20,30,0,0,0,-16.1,68.39,0.7,240,0.4,1021
2024,1,4,21,30,0,0,0,-16,68.35,0.7,226,0.4,1020
2024,1,4,22,30,0,0,0,-15.7,69.35,0.6,214,0.4,1020
2024,1,4,23,30,0,0,0,-15.5,71.15,0.6,207,0.4,1019
2024,1,5,0,30,0,0,0,-15.3,72.48,0.6,202,0.4,1018
2024,1,5,1,30,0,0,0,-15.1,73.53,0.7,200,0.4,1017
2024,1,5,2,30,0,0,0,-14.8,73.88,0.7,198,0.4,1016
2024,1,5,3,30,0,0,0,-14.5,74.94,0.8,194,0.4,1015
2024,1,5,4,30,0,0,0,-14.1,76.16,0.9,186,0.5,1014
2024,1,5,5,30,0,0,0,-13.7,77.28,0.9,182,0.5,1012
2024,1,5,6,30,0,0,0,-13.5,78.97,0.9,189,0.4,1011
2024,1,5,7,30,0,0,0,-13.2,79.73,0.9,209,0.4,1011
2024,1,5,8,30,2,0,2,-12.6,78.59,0.9,237,0.3,1011
2024,1,5,9,30,38,0,38,-12,78.99,1,257,0.3,1012
2024,1,5,10,30,65,0,65,-11.7,79.9,1.1,273,0.3,1013
2024,1,5,11,30,79,0,79,-11.6,79.37,1.3,289,0.3,1014
2024,1,5,12,30,87,1,87,-12.2,77.76,1.5,301,0.3,1015
2024,1,5,13,30,108,1,108,-13.1,75.37,1.6,309,0.2,1016
2024,1,5,14,30,47,0,47,-14.1,73.55,1.6,313,0.2,1018
2024,1,5,15,30,36,0,36,-15,72.61,1.5,315,0.2,1020
2024,1,5,16,30,0,0,0,-15.5,72.11,1.4,318,0.2,1022
